Year,EMXP,PRCP,TMAX,TMIN,SNOW
1880,49.33312101910828,656.2584905660373,14.11947826086956,4.070545454545454,2108.180555555556
1881,50.030560578661785,605.8419354838718,13.80813559322034,3.99190082644628,1751.5
1882,50.65485362095526,611.375572519084,13.512733812949634,3.637748344370861,2230.5569620253164
1883,43.75774456521737,580.6971621621623,12.274609929078016,2.3873376623376616,2201.511111111111
1884,41.584905660377295,537.6227360308287,12.993095238095243,2.801542857142856,2160.6220472440946
1885,47.92602365787086,566.3862249346129,12.083662790697673,2.377119565217392,2159.1567164179105
1886,48.40228758169937,624.4885271317828,12.733622448979595,2.660657276995306,1993.5072463768115
1887,55.22285287527998,747.9467044649185,12.990140845070426,2.8904366812227034,2171.9659863945576
1888,43.95098643649822,493.79282725642565,12.644095238095243,2.6178318584070777,1696.3525179856115
1889,62.829439528023606,759.3513966480448,13.564044444444438,3.5159915611814347,1726.496644295302
1890,60.60235602094228,812.6158817635278,13.327438016528927,2.8379775280898865,1711.638036809816
1891,61.62625641025654,720.6540755467198,13.558627450980387,2.7271886120996456,1537.558282208589
1892,54.72766798418961,685.108594114899,13.631538461538465,2.8098130841121502,1606.7204968944102
1893,62.536100628930704,751.7523443815683,15.631746268656714,3.4624407252440688,1851.1565217391305
1894,59.028361581921,762.1661308001449,16.667822671156017,4.337082002129929,1258.5806451612902
1895,55.27960164835151,624.3044274300921,16.139787644787646,3.4881852198316143,1377.6133828996285
1896,58.277386150966905,687.5359075706907,16.554333034914944,4.498992314261323,1386.2324840764331
1897,58.74283266704746,650.2342753217678,16.610456333595593,4.388231707317075,1240.673015873016
1898,62.523035230352214,702.4916887241917,16.64695244956771,4.7346842470506605,1136.4959785522788
1899,52.94218551461256,670.1064710308509,16.406366139022747,4.0609181636726515,1191.2555555555555
1900,54.80597117364451,700.0900806090452,17.171932270916304,4.83906290115533,1054.601336302895
1901,67.54857142857124,773.1311561933023,16.728486370157814,4.198739837398373,1019.9719101123596
1902,65.95972724285258,763.3857003416298,16.657940594059394,4.246418749999998,809.8248772504091
1903,72.27221604447985,897.1277742946695,16.693250755287036,4.339023962594978,872.6231647634584
1904,68.5458395914688,783.986960365404,16.583752171395464,3.8282309859154933,1000.1601307189543
1905,68.37092414995652,802.0926254108888,16.820119891008172,4.3753181336161235,886.7145061728395
1906,72.81653386454175,890.3174824191284,17.148252427184502,4.9810139679255085,855.7294832826747
1907,67.56175003370629,790.1106714628315,16.851748633879804,4.485075481520043,859.3032544378697
1908,70.1683993823985,776.4519289340117,17.708476683937793,4.910187839841824,908.0041493775932
1909,67.82446633825916,847.2239256965935,17.033674168297452,4.448778089887641,1077.1726427622839
1910,71.50373977873967,838.4261405379807,17.831602209944727,4.669064618165391,856.4983164983165
1911,70.81835765577954,810.0589817262364,17.70709805653712,4.905867521367519,912.7807486631017
1912,63.74526775956289,775.9186672454953,16.566587234042498,3.86463565253191,928.6033966033966
1913,68.78366521468585,787.5038742916032,17.64009888751541,4.7049317269076445,888.3872727272728
1914,64.9416342023776,764.9812015118389,17.3178672985782,4.392084137398677,898.4267569856053
1915,64.58954505256959,760.2614958179363,16.88381811204912,4.328075065031592,857.7844897959184
1916,69.89367690406006,885.0966987360852,16.576561538461508,3.5953520599250908,1209.0649651972158
1917,67.78355805606753,907.3568870921193,15.949711793704937,2.796184162062612,1175.7804295942724
1918,64.59395663690803,742.2477921824741,16.915490430621983,3.9068663594470068,1045.6209800918837
1919,65.755585290911,763.8911027816118,16.650420801905526,4.118124024961004,933.4293233082707
1920,67.93964968152892,827.4624050508011,16.37924871490707,4.103652343750005,968.5576631259484
1921,72.80706962210743,886.2717186437366,17.766211085801075,4.9343805970149175,851.0745209368347
1922,65.54594935480783,786.3404816733853,16.948089171974516,4.181769202766656,938.041891891892
1923,65.9611074176091,800.7432434961593,16.763364243323416,4.05608757062147,934.9528795811517
1924,66.74679547596635,848.0764071076384,16.289522955523665,3.324868784530384,1049.5781818181815
1925,65.97294804216911,788.3860031536967,17.125076923076936,4.316093274754977,773.8959537572255
1926,66.58046831955926,803.8663768115933,16.7015313778991,4.071822089947086,1011.4314269850084
1927,68.13260007212428,821.6959732739383,16.773768556005408,4.2551070038910535,934.4315673289183
1928,67.89159834259053,794.4104195804198,17.022713203819528,4.305767778477041,724.66855378281
1929,68.83850584594268,808.2559652558962,16.430947606727038,3.63423088826988,1052.8858889454916
1930,67.6077629382305,775.0485532407413,17.229042133979984,4.348010801080107,757.0074005550416
1931,69.06846565923094,836.1025300442703,17.88392383150604,5.083315310187822,722.972368955709
